Allergy,Age_Type,Food_Type,Food_Item,Amount_Taken,Symptoms
Allium Allergy,Adult,Vegetable,Garlic,Large Amount,"['Hives or a rash anywhere on the body', 'Tingling or itching in the mouth', 'Stomach pains', 'Cramping', 'Gas', 'Dizziness or lightheadedness']"
Allium Allergy,Adult,Vegetable,Garlic,Small Amount,"['Hives or a rash anywhere on the body', 'Tingling or itching in the mouth', 'Stomach pains', 'Cramping', 'Gas', 'Dizziness or lightheadedness']"
Allium Allergy,Adult,Vegetable,Leeks,Large Amount,"['Hives or a rash anywhere on the body', 'Tingling or itching in the mouth', 'Stomach pains', 'Cramping', 'Gas', 'Dizziness or lightheadedness']"
Allium Allergy,Adult,Vegetable,Leeks,Small Amount,"['Hives or a rash anywhere on the body', 'Tingling or itching in the mouth', 'Stomach pains', 'Cramping', 'Gas', 'Dizziness or lightheadedness']"
Allium Allergy,Adult,Vegetable,Onion,Large Amount,"['Hives or a rash anywhere on the body', 'Tingling or itching in the mouth', 'Stomach pains', 'Cramping', 'Gas', 'Dizziness or lightheadedness']"
Allium Allergy,Adult,Vegetable,Onion,Small Amount,"['Hives or a rash anywhere on the body', 'Tingling or itching in the mouth', 'Stomach pains', 'Cramping', 'Gas', 'Dizziness or lightheadedness']"
Allium Allergy,Children / Adolescents,Vegetable,Garlic,Large Amount,"['Hives or a rash anywhere on the body', 'Tingling or itching in the mouth', 'Stomach pains', 'Cramping', 'Gas', 'Dizziness or lightheadedness']"
Allium Allergy,Children / Adolescents,Vegetable,Garlic,Small Amount,"['Hives or a rash anywhere on the body', 'Tingling or itching in the mouth', 'Stomach pains', 'Cramping', 'Gas', 'Dizziness or lightheadedness']"
Allium Allergy,Children / Adolescents,Vegetable,Leeks,Large Amount,"['Hives or a rash anywhere on the body', 'Tingling or itching in the mouth', 'Stomach pains', 'Cramping', 'Gas', 'Dizziness or lightheadedness']"
Allium Allergy,Children / Adolescents,Vegetable,Leeks,Small Amount,"['Hives or a rash anywhere on the body', 'Tingling or itching in the mouth', 'Stomach pains', 'Cramping', 'Gas', 'Dizziness or lightheadedness']"
Allium Allergy,Children / Adolescents,Vegetable,Onion,Large Amount,"['Hives or a rash anywhere on the body', 'Tingling or itching in the mouth', 'Stomach pains', 'Cramping', 'Gas', 'Dizziness or lightheadedness']"
Allium Allergy,Children / Adolescents,Vegetable,Onion,Small Amount,"['Hives or a rash anywhere on the body', 'Tingling or itching in the mouth', 'Stomach pains', 'Cramping', 'Gas', 'Dizziness or lightheadedness']"
Allium Allergy,Infant / Toddlers,Vegetable,Garlic,Large Amount,"['Hives or a rash anywhere on the body', 'Tingling or itching in the mouth', 'Stomach pains', 'Cramping', 'Gas', 'Dizziness or lightheadedness']"
Allium Allergy,Infant / Toddlers,Vegetable,Garlic,Small Amount,"['Hives or a rash anywhere on the body', 'Tingling or itching in the mouth', 'Stomach pains', 'Cramping', 'Gas', 'Dizziness or lightheadedness']"
Allium Allergy,Infant / Toddlers,Vegetable,Leeks,Large Amount,"['Hives or a rash anywhere on the body', 'Tingling or itching in the mouth', 'Stomach pains', 'Cramping', 'Gas', 'Dizziness or lightheadedness']"
Allium Allergy,Infant / Toddlers,Vegetable,Leeks,Small Amount,"['Hives or a rash anywhere on the body', 'Tingling or itching in the mouth', 'Stomach pains', 'Cramping', 'Gas', 'Dizziness or lightheadedness']"
Allium Allergy,Infant / Toddlers,Vegetable,Onion,Large Amount,"['Hives or a rash anywhere on the body', 'Tingling or itching in the mouth', 'Stomach pains', 'Cramping', 'Gas', 'Dizziness or lightheadedness']"
Allium Allergy,Infant / Toddlers,Vegetable,Onion,Small Amount,"['Hives or a rash anywhere on the body', 'Tingling or itching in the mouth', 'Stomach pains', 'Cramping', 'Gas', 'Dizziness or lightheadedness']"
Banana Allergy,Adult,Fruit,Banana,Large Amount,['Narrowing of the throat']
Banana Allergy,Adult,Fruit,Banana,Small Amount,['Swelling of the skin - angioedema']
Banana Allergy,Children / Adolescents,Fruit,Banana,Large Amount,['Narrowing of the throat']
Banana Allergy,Children / Adolescents,Fruit,Banana,Small Amount,['Swelling of the skin - angioedema']
Banana Allergy,Infant / Toddlers,Fruit,Banana,Large Amount,['Swelling of the skin - angioedema']
Banana Allergy,Infant / Toddlers,Fruit,Banana,Small Amount,['Swelling of the skin - angioedema']
Cabbage Allergy,Adult,Vegetable,Cabbage,Large Amount,"['Swelling', 'Tingling', 'Nausea', 'Vomiting', 'Diarrhea', 'Wheezing', 'Coughing']"
Cabbage Allergy,Adult,Vegetable,Cabbage,Small Amount,"['Swelling', 'Tingling', 'Nausea', 'Vomiting', 'Diarrhea', 'Wheezing', 'Coughing']"
Cabbage Allergy,Children / Adolescents,Vegetable,Cabbage,Large Amount,"['Swelling', 'Tingling', 'Nausea', 'Vomiting', 'Diarrhea', 'Wheezing', 'Coughing']"
Cabbage Allergy,Children / Adolescents,Vegetable,Cabbage,Small Amount,"['Swelling', 'Tingling', 'Nausea', 'Vomiting', 'Diarrhea', 'Wheezing', 'Coughing']"
Cabbage Allergy,Infant / Toddlers,Vegetable,Cabbage,Large Amount,"['Swelling', 'Tingling', 'Nausea', 'Vomiting', 'Diarrhea', 'Wheezing', 'Coughing']"
Cabbage Allergy,Infant / Toddlers,Vegetable,Cabbage,Small Amount,"['Swelling', 'Tingling', 'Nausea', 'Vomiting', 'Diarrhea', 'Wheezing', 'Coughing']"
Chicken Allergy,Adult,Meat,Chicken Broth,Large Amount,"['Coughing or wheezing', 'Red, irritated skin', 'An inflamed or swollen throat', 'Swollen tongue or lips', 'Swollen, watery eyes']"
Chicken Allergy,Adult,Meat,Chicken Broth,Small Amount,"['Coughing or wheezing', 'Red, irritated skin', 'An inflamed or swollen throat', 'Swollen tongue or lips', 'Swollen, watery eyes']"
Chicken Allergy,Adult,Meat,Chicken products,Large Amount,"['Coughing or wheezing', 'Red, irritated skin', 'An inflamed or swollen throat', 'Swollen tongue or lips', 'Swollen, watery eyes']"
Chicken Allergy,Adult,Meat,Chicken products,Small Amount,"['Coughing or wheezing', 'Red, irritated skin', 'An inflamed or swollen throat', 'Swollen tongue or lips', 'Swollen, watery eyes']"
Chicken Allergy,Children / Adolescents,Meat,Chicken Broth,Large Amount,"['Coughing or wheezing', 'Red, irritated skin', 'An inflamed or swollen throat', 'Swollen tongue or lips', 'Swollen, watery eyes']"
Chicken Allergy,Children / Adolescents,Meat,Chicken Broth,Small Amount,"['Coughing or wheezing', 'Red, irritated skin', 'An inflamed or swollen throat', 'Swollen tongue or lips', 'Swollen, watery eyes']"
Chicken Allergy,Children / Adolescents,Meat,Chicken products,Large Amount,"['Coughing or wheezing', 'Red, irritated skin', 'An inflamed or swollen throat', 'Swollen tongue or lips', 'Swollen, watery eyes']"
Chicken Allergy,Children / Adolescents,Meat,Chicken products,Small Amount,"['Coughing or wheezing', 'Red, irritated skin', 'An inflamed or swollen throat', 'Swollen tongue or lips', 'Swollen, watery eyes']"
Chicken Allergy,Infant / Toddlers,Meat,Chicken Broth,Large Amount,"['Coughing or wheezing', 'Red, irritated skin', 'An inflamed or swollen throat', 'Swollen tongue or lips', 'Swollen, watery eyes']"
Chicken Allergy,Infant / Toddlers,Meat,Chicken Broth,Small Amount,"['Coughing or wheezing', 'Red, irritated skin', 'An inflamed or swollen throat', 'Swollen tongue or lips', 'Swollen, watery eyes']"
Chicken Allergy,Infant / Toddlers,Meat,Chicken products,Large Amount,"['Coughing or wheezing', 'Red, irritated skin', 'An inflamed or swollen throat', 'Swollen tongue or lips', 'Swollen, watery eyes']"
Chicken Allergy,Infant / Toddlers,Meat,Chicken products,Small Amount,"['Coughing or wheezing', 'Red, irritated skin', 'An inflamed or swollen throat', 'Swollen tongue or lips', 'Swollen, watery eyes']"
Citrus Allergy,Adult,Citrus Fruit,Grapefruits,Large Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Adult,Citrus Fruit,Grapefruits,Small Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Adult,Citrus Fruit,Lemons,Large Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Adult,Citrus Fruit,Lemons,Small Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Adult,Citrus Fruit,Limes,Large Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Adult,Citrus Fruit,Limes,Small Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Adult,Citrus Fruit,Oranges,Large Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Adult,Citrus Fruit,Oranges,Small Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Adult,Citrus Fruit,Raw citrus fruits,Large Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Adult,Citrus Fruit,Raw citrus fruits,Small Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Children / Adolescents,Citrus Fruit,Grapefruits,Large Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Children / Adolescents,Citrus Fruit,Grapefruits,Small Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Children / Adolescents,Citrus Fruit,Lemons,Large Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Children / Adolescents,Citrus Fruit,Lemons,Small Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Children / Adolescents,Citrus Fruit,Limes,Large Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Children / Adolescents,Citrus Fruit,Limes,Small Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Children / Adolescents,Citrus Fruit,Oranges,Large Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Children / Adolescents,Citrus Fruit,Oranges,Small Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Children / Adolescents,Citrus Fruit,Raw citrus fruits,Large Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Children / Adolescents,Citrus Fruit,Raw citrus fruits,Small Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Infant / Toddlers,Citrus Fruit,Grapefruits,Large Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Infant / Toddlers,Citrus Fruit,Grapefruits,Small Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Infant / Toddlers,Citrus Fruit,Lemons,Large Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Infant / Toddlers,Citrus Fruit,Lemons,Small Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Infant / Toddlers,Citrus Fruit,Limes,Large Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Infant / Toddlers,Citrus Fruit,Limes,Small Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Infant / Toddlers,Citrus Fruit,Oranges,Large Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
Citrus Allergy,Infant / Toddlers,Citrus Fruit,Oranges,Small Amount,"['Extreme itching', 'Dry, scaly, flaky skin', 'Swelling and Blisters', 'skin redness and skin that burns']"
